Date,Instan Type,OS,Region,Price
2024-01-31,t3.small,Red Hat Enterprise Linux,ap-northeast-2a,0.086
2024-01-31,t3.small,Red Hat Enterprise Linux,ap-northeast-2b,0.086
2024-01-31,t3.small,Red Hat Enterprise Linux,ap-northeast-2c,0.086
2024-02-29,t3.small,Red Hat Enterprise Linux,ap-northeast-2a,0.086
2024-02-29,t3.small,Red Hat Enterprise Linux,ap-northeast-2b,0.086
2024-02-29,t3.small,Red Hat Enterprise Linux,ap-northeast-2c,0.086
2024-03-31,t3.small,Red Hat Enterprise Linux,ap-northeast-2a,0.086
2024-03-31,t3.small,Red Hat Enterprise Linux,ap-northeast-2b,0.086
2024-03-31,t3.small,Red Hat Enterprise Linux,ap-northeast-2c,0.086
2024-04-30,t3.small,Red Hat Enterprise Linux,ap-northeast-2a,0.086
2024-04-30,t3.small,Red Hat Enterprise Linux,ap-northeast-2b,0.086
2024-04-30,t3.small,Red Hat Enterprise Linux,ap-northeast-2c,0.086
2024-05-31,t3.small,Red Hat Enterprise Linux,ap-northeast-2a,0.086
2024-05-31,t3.small,Red Hat Enterprise Linux,ap-northeast-2b,0.086
2024-05-31,t3.small,Red Hat Enterprise Linux,ap-northeast-2c,0.086
2024-06-30,t3.small,Red Hat Enterprise Linux,ap-northeast-2a,0.086
2024-06-30,t3.small,Red Hat Enterprise Linux,ap-northeast-2b,0.086
2024-06-30,t3.small,Red Hat Enterprise Linux,ap-northeast-2c,0.086
2024-01-31,t3.small,SUSE Linux,ap-northeast-2a,0.1336
2024-01-31,t3.small,SUSE Linux,ap-northeast-2b,0.1336
2024-01-31,t3.small,SUSE Linux,ap-northeast-2c,0.1336
2024-02-29,t3.small,SUSE Linux,ap-northeast-2a,0.1336
2024-02-29,t3.small,SUSE Linux,ap-northeast-2b,0.1336
2024-02-29,t3.small,SUSE Linux,ap-northeast-2c,0.1336
2024-03-31,t3.small,SUSE Linux,ap-northeast-2a,0.1336
2024-03-31,t3.small,SUSE Linux,ap-northeast-2b,0.1336
