Date,Instan Type,OS,Region,Price
2024-01-31,t3.small,Red Hat Enterprise Linux,ap-south-1a,0.0847
2024-01-31,t3.small,Red Hat Enterprise Linux,ap-south-1b,0.0847
2024-01-31,t3.small,Red Hat Enterprise Linux,ap-south-1c,0.0847
2024-02-29,t3.small,Red Hat Enterprise Linux,ap-south-1a,0.0847
2024-02-29,t3.small,Red Hat Enterprise Linux,ap-south-1b,0.0847
2024-02-29,t3.small,Red Hat Enterprise Linux,ap-south-1c,0.0847
2024-03-31,t3.small,Red Hat Enterprise Linux,ap-south-1a,0.0847
2024-03-31,t3.small,Red Hat Enterprise Linux,ap-south-1b,0.0847
2024-03-31,t3.small,Red Hat Enterprise Linux,ap-south-1c,0.0847
2024-04-30,t3.small,Red Hat Enterprise Linux,ap-south-1a,0.0847
2024-04-30,t3.small,Red Hat Enterprise Linux,ap-south-1b,0.0847
2024-04-30,t3.small,Red Hat Enterprise Linux,ap-south-1c,0.0847
2024-05-31,t3.small,Red Hat Enterprise Linux,ap-south-1a,0.0847
2024-05-31,t3.small,Red Hat Enterprise Linux,ap-south-1b,0.0847
2024-05-31,t3.small,Red Hat Enterprise Linux,ap-south-1c,0.0847
2024-06-30,t3.small,Red Hat Enterprise Linux,ap-south-1a,0.0847
2024-06-30,t3.small,Red Hat Enterprise Linux,ap-south-1b,0.0847
2024-06-30,t3.small,Red Hat Enterprise Linux,ap-south-1c,0.0847
2024-01-31,t3.small,SUSE Linux,ap-south-1a,0.1308
2024-01-31,t3.small,SUSE Linux,ap-south-1b,0.1308
2024-01-31,t3.small,SUSE Linux,ap-south-1c,0.1308
2024-02-29,t3.small,SUSE Linux,ap-south-1a,0.1308
2024-02-29,t3.small,SUSE Linux,ap-south-1b,0.1308
2024-02-29,t3.small,SUSE Linux,ap-south-1c,0.1308
2024-03-31,t3.small,SUSE Linux,ap-south-1a,0.1308
2024-03-31,t3.small,SUSE Linux,ap-south-1b,0.1308
2024-03-31,t3.small,SUSE Linux,ap-south-1c,0.1308
2024-04-30,t3.small,SUSE Linux,ap-south-1a,0.1308
