Date,Instan Type,OS,Region,Price
2024-01-31,t3.small,Red Hat Enterprise Linux,us-east-1a,0.0792
2024-01-31,t3.small,Red Hat Enterprise Linux,us-east-1b,0.0792
2024-01-31,t3.small,Red Hat Enterprise Linux,us-east-1c,0.0792
2024-02-29,t3.small,Red Hat Enterprise Linux,us-east-1a,0.0792
2024-02-29,t3.small,Red Hat Enterprise Linux,us-east-1b,0.0792
2024-02-29,t3.small,Red Hat Enterprise Linux,us-east-1c,0.0792
2024-03-31,t3.small,Red Hat Enterprise Linux,us-east-1a,0.0792
2024-03-31,t3.small,Red Hat Enterprise Linux,us-east-1b,0.0792
2024-03-31,t3.small,Red Hat Enterprise Linux,us-east-1c,0.0792
2024-04-30,t3.small,Red Hat Enterprise Linux,us-east-1a,0.0792
2024-04-30,t3.small,Red Hat Enterprise Linux,us-east-1b,0.0792
2024-04-30,t3.small,Red Hat Enterprise Linux,us-east-1c,0.0792
2024-05-31,t3.small,Red Hat Enterprise Linux,us-east-1a,0.0792
2024-05-31,t3.small,Red Hat Enterprise Linux,us-east-1b,0.0792
2024-05-31,t3.small,Red Hat Enterprise Linux,us-east-1c,0.0792
2024-06-30,t3.small,Red Hat Enterprise Linux,us-east-1a,0.0792
2024-06-30,t3.small,Red Hat Enterprise Linux,us-east-1b,0.0792
2024-06-30,t3.small,Red Hat Enterprise Linux,us-east-1c,0.0792
2024-01-31,t3.small,SUSE Linux,us-east-1a,0.1191
2024-01-31,t3.small,SUSE Linux,us-east-1b,0.1191
2024-01-31,t3.small,SUSE Linux,us-east-1c,0.1191
2024-02-29,t3.small,SUSE Linux,us-east-1a,0.1191
2024-02-29,t3.small,SUSE Linux,us-east-1b,0.1191
2024-02-29,t3.small,SUSE Linux,us-east-1c,0.1191
2024-03-31,t3.small,SUSE Linux,us-east-1a,0.1191
2024-03-31,t3.small,SUSE Linux,us-east-1b,0.1191
2024-03-31,t3.small,SUSE Linux,us-east-1c,0.1191
2024-04-30,t3.small,SUSE Linux,us-east-1a,0.1191
2024-04-30,t3.small,SUSE Linux,us-east-1b,0.1191
2024-04-30,t3.small,SUSE Linux,us-east-1c,0.1191
2024-05-31,t3.small,SUSE Linux,us-east-1a,0.1191
2024-05-31,t3.small,SUSE Linux,us-east-1b,0.1191
2024-05-31,t3.small,SUSE Linux,us-east-1c,0.1191
2024-06-30,t3.small,SUSE Linux,us-east-1a,0.1191
2024-06-30,t3.small,SUSE Linux,us-east-1b,0.1191
2024-06-30,t3.small,SUSE Linux,us-east-1c,0.1191
2024-01-31,t3.small,Linux/UNIX,us-east-1a,0.0161
2024-01-31,t3.small,Linux/UNIX,us-east-1b,0.0161
2024-01-31,t3.small,Linux/UNIX,us-east-1c,0.0161
2024-02-29,t3.small,Linux/UNIX,us-east-1a,0.0161
2024-02-29,t3.small,Linux/UNIX,us-east-1b,0.0161
2024-02-29,t3.small,Linux/UNIX,us-east-1c,0.0161
2024-03-31,t3.small,Linux/UNIX,us-east-1a,0.0161
2024-03-31,t3.small,Linux/UNIX,us-east-1b,0.0161
2024-03-31,t3.small,Linux/UNIX,us-east-1c,0.0161
2024-04-30,t3.small,Linux/UNIX,us-east-1a,0.0161
2024-04-30,t3.small,Linux/UNIX,us-east-1b,0.0161
2024-04-30,t3.small,Linux/UNIX,us-east-1c,0.0161
2024-05-31,t3.small,Linux/UNIX,us-east-1a,0.0161
2024-05-31,t3.small,Linux/UNIX,us-east-1b,0.0161
2024-05-31,t3.small,Linux/UNIX,us-east-1c,0.0161
2024-06-30,t3.small,Linux/UNIX,us-east-1a,0.0161
2024-06-30,t3.small,Linux/UNIX,us-east-1b,0.0161
2024-06-30,t3.small,Linux/UNIX,us-east-1c,0.0161
2024-01-31,t3.nano,Windows,us-east-1a,0.0089
2024-01-31,t3.nano,Windows,us-east-1b,0.0089
2024-01-31,t3.nano,Windows,us-east-1c,0.0089
2024-02-29,t3.nano,Windows,us-east-1a,0.0089
2024-02-29,t3.nano,Windows,us-east-1b,0.0089
2024-02-29,t3.nano,Windows,us-east-1c,0.0089
2024-03-31,t3.nano,Windows,us-east-1a,0.0089
2024-03-31,t3.nano,Windows,us-east-1b,0.0089
2024-03-31,t3.nano,Windows,us-east-1c,0.0089
2024-04-30,t3.nano,Windows,us-east-1a,0.0089
2024-04-30,t3.nano,Windows,us-east-1b,0.0089
2024-04-30,t3.nano,Windows,us-east-1c,0.0089
2024-05-31,t3.nano,Windows,us-east-1a,0.0089
2024-05-31,t3.nano,Windows,us-east-1b,0.0089
2024-05-31,t3.nano,Windows,us-east-1c,0.0089
2024-06-30,t3.nano,Windows,us-east-1a,0.0089
2024-06-30,t3.nano,Windows,us-east-1b,0.0089
2024-06-30,t3.nano,Windows,us-east-1c,0.0089
2024-01-31,i3en.metal,Windows,us-east-1a,11.5713
2024-01-31,i3en.metal,Windows,us-east-1b,11.5713
2024-01-31,i3en.metal,Windows,us-east-1c,11.5713
2024-02-29,i3en.metal,Windows,us-east-1a,11.5713
2024-02-29,i3en.metal,Windows,us-east-1b,11.5713
2024-02-29,i3en.metal,Windows,us-east-1c,11.5713
2024-03-31,i3en.metal,Windows,us-east-1a,11.5713
2024-03-31,i3en.metal,Windows,us-east-1b,11.5713
2024-03-31,i3en.metal,Windows,us-east-1c,11.5713
2024-04-30,i3en.metal,Windows,us-east-1a,11.5713
2024-04-30,i3en.metal,Windows,us-east-1b,11.5713
2024-04-30,i3en.metal,Windows,us-east-1c,11.5713
2024-05-31,i3en.metal,Windows,us-east-1a,11.5713
2024-05-31,i3en.metal,Windows,us-east-1b,11.5713
2024-05-31,i3en.metal,Windows,us-east-1c,11.5713
2024-06-30,i3en.metal,Windows,us-east-1a,11.5713
2024-06-30,i3en.metal,Windows,us-east-1b,11.5713
2024-06-30,i3en.metal,Windows,us-east-1c,11.5713
2024-01-31,t3.2xlarge,Red Hat Enterprise Linux,us-east-1a,0.3987
2024-01-31,t3.2xlarge,Red Hat Enterprise Linux,us-east-1b,0.3987
2024-01-31,t3.2xlarge,Red Hat Enterprise Linux,us-east-1c,0.3987
2024-02-29,t3.2xlarge,Red Hat Enterprise Linux,us-east-1a,0.3987
2024-02-29,t3.2xlarge,Red Hat Enterprise Linux,us-east-1b,0.3987
2024-02-29,t3.2xlarge,Red Hat Enterprise Linux,us-east-1c,0.3987
2024-03-31,t3.2xlarge,Red Hat Enterprise Linux,us-east-1a,0.3987
2024-03-31,t3.2xlarge,Red Hat Enterprise Linux,us-east-1b,0.3987
2024-03-31,t3.2xlarge,Red Hat Enterprise Linux,us-east-1c,0.3987
2024-04-30,t3.2xlarge,Red Hat Enterprise Linux,us-east-1a,0.3987
2024-04-30,t3.2xlarge,Red Hat Enterprise Linux,us-east-1b,0.3987
2024-04-30,t3.2xlarge,Red Hat Enterprise Linux,us-east-1c,0.3987
2024-05-31,t3.2xlarge,Red Hat Enterprise Linux,us-east-1a,0.3987
2024-05-31,t3.2xlarge,Red Hat Enterprise Linux,us-east-1b,0.3987
2024-05-31,t3.2xlarge,Red Hat Enterprise Linux,us-east-1c,0.3987
2024-06-30,t3.2xlarge,Red Hat Enterprise Linux,us-east-1a,0.3987
2024-06-30,t3.2xlarge,Red Hat Enterprise Linux,us-east-1b,0.3987
2024-06-30,t3.2xlarge,Red Hat Enterprise Linux,us-east-1c,0.3987
2024-01-31,t3.2xlarge,SUSE Linux,us-east-1a,0.3695
2024-01-31,t3.2xlarge,SUSE Linux,us-east-1b,0.3695
2024-01-31,t3.2xlarge,SUSE Linux,us-east-1c,0.3695
2024-02-29,t3.2xlarge,SUSE Linux,us-east-1a,0.3695
2024-02-29,t3.2xlarge,SUSE Linux,us-east-1b,0.3695
2024-02-29,t3.2xlarge,SUSE Linux,us-east-1c,0.3695
2024-03-31,t3.2xlarge,SUSE Linux,us-east-1a,0.3695
2024-03-31,t3.2xlarge,SUSE Linux,us-east-1b,0.3695
2024-03-31,t3.2xlarge,SUSE Linux,us-east-1c,0.3695
2024-04-30,t3.2xlarge,SUSE Linux,us-east-1a,0.3695
2024-04-30,t3.2xlarge,SUSE Linux,us-east-1b,0.3695
2024-04-30,t3.2xlarge,SUSE Linux,us-east-1c,0.3695
