date,service_name,resource_id,region,cost_usd,usage_hours,tag_owner,tag_project,tag_environment,anomaly_label
2024-01-01,EC2,res-ec2-b349b975,us-east-1,442.92,22.45,team-backend,project-alpha,production,normal
2024-01-02,EC2,res-ec2-b349b975,us-east-1,438.65,19.47,team-backend,project-alpha,production,normal
2024-01-03,EC2,res-ec2-b349b975,us-east-1,437.45,18.84,team-backend,project-alpha,production,normal
2024-01-04,EC2,res-ec2-b349b975,us-east-1,429.66,18.61,team-backend,project-alpha,production,normal
2024-01-05,EC2,res-ec2-b349b975,us-east-1,396.72,22.44,team-backend,project-alpha,production,normal
2024-01-06,EC2,res-ec2-b349b975,us-east-1,400.75,21.27,team-backend,project-alpha,production,normal
2024-01-07,EC2,res-ec2-b349b975,us-east-1,439.9,21.54,team-backend,project-alpha,production,normal
2024-01-08,EC2,res-ec2-b349b975,us-east-1,446.47,18.19,team-backend,project-alpha,production,normal
2024-01-09,EC2,res-ec2-b349b975,us-east-1,434.27,18.56,team-backend,project-alpha,production,normal
2024-01-10,EC2,res-ec2-b349b975,us-east-1,436.1,19.4,team-backend,project-alpha,production,normal
2024-01-11,EC2,res-ec2-b349b975,us-east-1,405.18,21.61,team-backend,project-alpha,production,normal
2024-01-12,EC2,res-ec2-b349b975,us-east-1,393.94,21.37,team-backend,project-alpha,production,normal
2024-01-13,EC2,res-ec2-b349b975,us-east-1,406.51,22.3,team-backend,project-alpha,production,normal
2024-01-14,EC2,res-ec2-b349b975,us-east-1,395.89,22.21,team-backend,project-alpha,production,normal
2024-01-15,EC2,res-ec2-b349b975,us-east-1,413.83,20.52,team-backend,project-alpha,production,normal
2024-01-16,EC2,res-ec2-b349b975,us-east-1,433.04,20.7,team-backend,project-alpha,production,normal
2024-01-17,EC2,res-ec2-b349b975,us-east-1,416.07,19.67,team-backend,project-alpha,production,normal
2024-01-18,EC2,res-ec2-b349b975,us-east-1,414.76,23.22,team-backend,project-alpha,production,normal
2024-01-19,EC2,res-ec2-b349b975,us-east-1,388.64,22.55,team-backend,project-alpha,production,normal
2024-01-20,EC2,res-ec2-b349b975,us-east-1,386.48,18.96,team-backend,project-alpha,production,normal
2024-01-21,EC2,res-ec2-b349b975,us-east-1,438.47,20.54,team-backend,project-alpha,production,normal
2024-01-22,EC2,res-ec2-b349b975,us-east-1,433.46,19.67,team-backend,project-alpha,production,normal
2024-01-23,EC2,res-ec2-b349b975,us-east-1,441.37,19.29,team-backend,project-alpha,production,normal
2024-01-24,EC2,res-ec2-b349b975,us-east-1,410.77,22.58,team-backend,project-alpha,production,normal
